Date,Open,High,Low,Close,Adj Close,Volume
2018-07-17,246.210007,254.300003,245.179993,253.690002,252.748596,9053400
2018-07-18,253.389999,253.949997,249.639999,251.699997,250.765961,6941000
2018-07-19,250.940002,253.389999,250.330002,252.029999,251.094757,5893800
2018-07-20,251.929993,253.500000,250.449997,250.889999,249.958984,5558800
2018-07-23,249.820007,249.889999,243.279999,249.410004,248.484467,7539600
2018-07-24,251.350006,254.850006,248.000000,248.710007,247.787079,8865500
2018-07-25,249.089996,252.380005,246.750000,251.869995,250.935349,7977800
2018-07-26,251.059998,256.329987,250.380005,254.839996,253.894318,8128100
2018-07-27,256.320007,256.600006,249.839996,252.020004,251.084793,7385500
2018-07-30,252.589996,252.830002,242.720001,244.130005,243.224075,8508500
2018-07-31,243.710007,247.880005,242.139999,244.860001,243.951355,7099700
2018-08-01,246.130005,248.360001,243.889999,246.470001,245.555389,7088900
2018-08-02,243.589996,250.779999,241.210007,250.619995,249.689972,6741700
2018-08-03,251.610001,253.059998,250.929993,252.100006,251.164490,5357200
2018-08-06,251.589996,254.169998,249.710007,254.029999,253.087326,5187700
2018-08-07,256.000000,257.700012,254.919998,256.950012,255.996506,6453300
2018-08-08,257.000000,260.239990,255.589996,258.420013,257.461060,6552500
2018-08-09,259.140015,259.250000,256.149994,256.459991,255.508316,5107000
2018-08-10,253.149994,256.100006,252.699997,254.789993,253.844482,6409900
2018-08-13,255.139999,261.000000,255.070007,256.119995,255.169571,9380200
2018-08-14,260.380005,262.000000,257.019989,261.429993,260.459869,11655500
2018-08-15,262.269989,263.640015,255.899994,259.079987,258.118591,14778400
2018-08-16,261.899994,262.000000,255.009995,257.440002,256.484650,20031500
2018-08-17,252.940002,252.970001,243.729996,244.820007,243.911514,28579700
2018-08-20,243.179993,253.199997,238.720001,247.839996,246.920288,21359700
2018-08-21,248.500000,253.500000,247.699997,253.320007,252.379959,16849700
2018-08-22,252.000000,263.019989,251.860001,262.820007,261.844696,18746400
2018-08-23,261.260010,269.480011,260.700012,266.839996,265.849792,18017100
2018-08-24,267.179993,272.809998,267.000000,272.220001,271.209839,13287800
2018-08-27,273.420013,278.899994,272.149994,275.899994,274.876190,12644400
2018-08-28,275.660004,276.579987,269.529999,274.380005,273.361786,11884600
2018-08-29,273.920013,279.500000,273.079987,278.489990,277.608337,10502700
2018-08-30,277.230011,281.720001,276.320007,277.809998,276.930481,8665200
2018-08-31,277.000000,281.200012,276.600006,280.679993,279.791382,7664800
2018-09-04,280.149994,285.220001,279.000000,283.700012,282.801819,9793000
2018-09-05,282.989990,284.420013,275.149994,278.420013,277.538544,9828900
2018-09-06,277.760010,277.859985,271.390015,272.720001,271.856598,8069900
2018-09-07,269.000000,276.929993,267.190002,271.859985,270.999298,7385500
2018-09-10,272.769989,275.929993,271.000000,274.730011,273.860229,5503500
2018-09-11,272.859985,276.399994,272.019989,272.799988,271.936310,6077800
2018-09-12,271.190002,271.980011,261.920013,268.200012,267.350891,10477300
2018-09-13,270.859985,275.000000,270.160004,271.339996,270.480988,7638400
2018-09-14,274.989990,279.100006,273.500000,276.429993,275.554840,9673400
2018-09-17,275.399994,277.380005,273.149994,273.929993,273.062744,5138200
2018-09-18,274.089996,278.239990,270.750000,271.019989,270.161957,7488000
2018-09-19,270.269989,272.700012,268.250000,271.980011,271.118958,5621500
2018-09-20,267.049988,268.760010,264.100006,266.279999,265.436981,10764600
2018-09-21,266.760010,268.600006,262.109985,263.450012,262.615967,10878200
2018-09-24,262.200012,265.839996,258.679993,265.700012,264.858826,7347800
2018-09-25,268.369995,269.420013,264.910004,268.410004,267.560242,7009700
2018-09-26,268.609985,270.239990,266.279999,266.920013,266.074951,6713700
2018-09-27,268.339996,269.200012,266.130005,267.399994,266.553436,5360700
2018-09-28,272.730011,281.920013,271.600006,281.019989,280.130310,17734900
2018-10-01,284.160004,292.059998,282.600006,289.359985,288.443909,15551500
2018-10-02,288.250000,292.760010,285.579987,286.480011,285.573029,9599100
2018-10-03,289.320007,289.619995,282.529999,286.730011,285.822235,8013800
2018-10-04,285.269989,286.250000,276.179993,279.290009,278.405823,9780500
2018-10-05,278.290009,280.799988,267.540009,269.859985,269.005615,10665900
2018-10-08,266.500000,271.160004,260.079987,265.769989,264.928589,10215300
2018-10-09,264.940002,268.760010,262.799988,265.540009,264.699341,6837500
2018-10-10,261.260010,263.109985,245.600006,245.690002,244.912170,17123500
2018-10-11,242.169998,247.559998,234.259995,235.130005,234.385605,18135900
2018-10-12,245.509995,249.539993,239.649994,246.539993,245.759476,15205900
2018-10-15,246.000000,246.000000,235.339996,235.380005,234.634811,11244000
2018-10-16,239.929993,246.279999,237.940002,245.830002,245.051743,10217800
2018-10-17,248.339996,249.880005,241.080002,243.059998,242.290497,8241700
2018-10-18,245.860001,247.410004,237.089996,239.529999,238.771683,13100500
2018-10-19,241.759995,242.550003,227.699997,229.169998,228.444473,15340200
2018-10-22,231.279999,235.320007,227.070007,231.220001,230.487991,9221100
2018-10-23,220.429993,224.190002,216.710007,221.059998,220.360138,15660900
2018-10-24,219.509995,221.389999,198.850006,199.410004,198.778687,22107200
2018-10-25,195.470001,209.750000,193.679993,207.839996,207.181976,23793000
2018-10-26,198.309998,204.839996,193.119995,198.289993,197.662216,16619600
2018-10-29,203.990005,204.130005,176.009995,185.619995,185.032349,18950400
2018-10-30,186.550003,203.399994,185.619995,203.000000,202.357315,20179800
2018-10-31,209.649994,212.589996,204.009995,210.830002,210.162537,18644300
2018-11-01,212.300003,218.490005,207.190002,218.110001,217.419479,14163200
2018-11-02,217.729996,222.000000,210.210007,214.919998,214.239578,11324000
2018-11-05,214.389999,215.330002,205.279999,211.770004,211.099564,9483300
2018-11-06,211.449997,214.850006,209.559998,211.059998,210.391815,7475300
2018-11-07,213.750000,217.410004,211.179993,213.789993,213.113159,12095300
2018-11-08,211.399994,211.429993,203.830002,205.990005,205.337860,12783800
2018-11-09,202.399994,209.320007,201.039993,205.669998,205.018875,10331000
